Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 0-10 All,0.01165,0.031636,1.011718126,0.950890315,1.076437,-0.284057,0.283671,0.971993949,0.91942646,1.027567,0.004224,0.003727,1.055555533,0.961331693,1.159015,0.004514,0.003916,1.029775688,0.979660849,1.082454
Age 0-10 Female,-0.024784,0.043899,0.975520602,0.895094446,1.063173,-0.864158,0.39875,0.917212775,0.848257698,0.991773,0.006179,0.005176,1.082303024,0.950502689,1.232379,0.001637,0.005495,1.010697311,0.94236199,1.083988
Age 0-10 Male,0.035086,0.038371,1.035708776,0.960673037,1.116605,0.09042,0.341617,1.009083002,0.943730225,1.078961,0.002921,0.004519,1.038096554,0.926831154,1.162719,0.006316,0.004718,1.041908367,0.981127047,1.106455
Age 11-60 All,-0.005284,0.00506,0.994729936,0.984913361,1.004644,-0.102258,0.044694,0.989826306,0.981193272,0.998535,0.000738,0.000607,1.009491158,0.994234668,1.024982,-0.000575,0.000636,0.996269476,0.988229679,1.004375
Age 11-60 Female,-0.002515,0.007099,0.99748816,0.983705181,1.011464,-0.13664,0.06298,0.986428929,0.974327217,0.998681,0.002089,0.000848,1.0270999,1.005479534,1.049185,-0.001057,0.000892,0.993153048,0.981930664,1.004504
Age 11-60 Male,-0.007312,0.00627,0.992714668,0.980589654,1.004990,-0.075885,0.055267,0.99244022,0.981747795,1.003249,-0.000297,0.000753,0.996205617,0.977562682,1.015204,-0.000195,0.000788,0.998733303,0.98875706,1.008810
Age 60+All,0.008328,0.003723,1.008362774,1.001031452,1.015748,0.046335,0.03274,1.004644251,0.99821805,1.011112,-0.000192,0.000447,0.997545417,0.9864211,1.008795,0.000839,0.000465,1.005468397,0.999529511,1.011443
Age 60+ Female,0.014743,0.004743,1.014852214,1.00546158,1.024331,0.11959,0.041668,1.012030795,1.003799271,1.020330,-0.000454,0.000571,0.994205652,0.980064936,1.008550,0.001609,0.000592,1.010513381,1.002920677,1.018164
Age 60+ Male,0.001536,0.005077,1.00153718,0.991620386,1.011553,-0.031212,0.044651,0.996883666,0.988197408,1.005646,0.000083,0.000609,1.001062965,0.985884381,1.016475,0.000018,0.000636,1.000117007,0.992046161,1.008254
All: LAG 5,0.003469,0.003301,1.003475024,0.997003538,1.009989,0.003235,0.028971,1.000323552,0.994659495,1.006020,0.000246,0.000394,1.003153763,0.993286763,1.013119,0.000351,0.000412,1.002284105,0.997037018,1.007559
Female,0.007091,0.004165,1.007116201,0.998928175,1.015371,0.026656,0.036597,1.002669156,0.995502731,1.009887,0.000574,0.000498,1.007374257,0.994866597,1.020039,0.000613,0.00052,1.003992449,0.997363183,1.010666
Male,0.000079,0.00423,1.000079003,0.991821825,1.008405,-0.018597,0.037092,0.998142028,0.990911817,1.005425,-0.00006,0.000504,0.999232295,0.986677193,1.011947,0.000107,0.000528,1.000695742,0.993986931,1.007450
Warm All,0.000754,0.003999,1.000754284,0.992940993,1.008629,0.009909,0.034385,1.000991391,0.994267931,1.007760,-0.000273,0.00051,0.996511698,0.983842673,1.009344,0.000248,0.000502,1.0016133,0.995227943,1.008040
Warm Female,0.004732,0.00463,1.004743214,0.995666616,1.013903,0.041585,0.03979,1.004167159,0.996366278,1.012029,0.000141,0.000592,1.00180643,0.987037451,1.016796,0.000558,0.00058,1.003633586,0.996244868,1.011077
Warm Male,-0.002956,0.004658,0.997048365,0.987987059,1.006193,-0.019786,0.040076,0.998023356,0.990214695,1.005894,-0.000654,0.000592,0.991663741,0.977044289,1.006502,-0.000042,0.000585,0.999727037,0.992303868,1.007206
Cold All,0.008656,0.004166,1.008693571,1.00049076,1.016964,-0.011307,0.037714,0.998869939,0.991513571,1.006281,0.000913,0.000438,1.011754953,1.0006981,1.022934,0.000508,0.000526,1.003307458,0.996606531,1.010053
Cold Female,0.011718,0.005094,1.011786925,1.001735264,1.021939,0.000803,0.046257,1.000080303,0.991054182,1.009189,0.001041,0.000536,1.013413971,0.999877639,1.027134,0.000746,0.000644,1.004860775,0.996650064,1.013139
Cold Male,0.005702,0.005221,1.005718287,0.99547909,1.016063,-0.022823,0.047148,0.997720302,0.988542831,1.006983,0.000792,0.000549,1.01018916,0.996370889,1.024199,0.000276,0.000657,1.00179561,0.993445396,1.010216
Age 0-10 All,0.061261,0.031272,1.063176367,0.999967881,1.130380,-0.11708,0.280342,0.988360272,0.935517869,1.044187,0.007891,0.003751,1.106281952,1.00692357,1.215445,0.007238,0.003834,1.048171272,0.998203456,1.100640
Age 0-10 Female,-0.026375,0.044061,0.973969782,0.893387769,1.061820,-0.574206,0.385103,0.944196857,0.875551953,1.018224,0.004993,0.005266,1.065996881,0.93407083,1.216556,-0.001076,0.005483,0.993030401,0.926031137,1.064877
Age 0-10 Male,0.118625,0.037684,1.125947609,1.045781403,1.212259,0.196633,0.342252,1.019857896,0.953688585,1.090618,0.009743,0.004519,1.132820341,1.011402244,1.268815,0.012422,0.00457,1.084092249,1.022776717,1.149084
Age 11-60 All,-0.001986,0.005081,0.998015971,0.988126295,1.008005,-0.053043,0.044728,0.994709743,0.986027546,1.003468,0.000205,0.000605,1.002627446,0.987524236,1.017962,-0.000196,0.000635,0.998726811,0.990679805,1.006839
Age 11-60 Female,-0.002152,0.007122,0.997850314,0.98401797,1.011877,-0.089121,0.063129,0.991127495,0.978939551,1.003467,0.001111,0.000845,1.014322397,0.993045734,1.036055,-0.000743,0.00089,0.995182143,0.983961902,1.006530
Age 11-60 Male,-0.001891,0.006303,0.998110787,0.985856098,1.010518,-0.026228,0.055218,0.997380637,0.986644459,1.008234,-0.00049,0.000752,0.993747628,0.975175157,1.012674,0.00022,0.000788,1.001431023,0.991427832,1.011535
Age 60+All,0.005817,0.003742,1.005833952,0.998483831,1.013238,0.034328,0.03277,1.003438699,0.997014346,1.009904,0.000192,0.000447,1.002460622,0.991281493,1.013766,0.00057,0.000467,1.003711872,0.997757937,1.009701
Age 60+ Female,0.011482,0.004757,1.011548171,1.002160611,1.021024,0.082523,0.041607,1.008286444,1.000097333,1.016543,0.000287,0.000571,1.003680356,0.98940488,1.018162,0.001229,0.000593,1.008020493,1.000433774,1.015665
Age 60+ Male,-0.000185,0.005099,0.999815017,0.989872591,1.009857,-0.016917,0.04471,0.99830973,0.989599602,1.007097,0.000094,0.000607,1.001203924,0.986072679,1.016567,-0.000131,0.000636,0.999148862,0.991085829,1.007277
All: LAG 6,-0.001243,0.003284,0.998757772,0.992349773,1.005207,-0.006974,0.0293,0.999302843,0.993580494,1.005058,0.000185,0.000397,1.002370806,0.99243681,1.012404,-0.000401,0.000409,0.997396894,0.992213315,1.002608
Female,0.003097,0.004143,1.003101801,0.994989316,1.011280,0.04053,0.036857,1.004061225,0.99683405,1.011341,0.00032,0.000501,1.0041044,0.991562707,1.016805,0.00033,0.000516,1.002147302,0.995580953,1.008757
Male,-0.005324,0.004207,0.994690147,0.986521934,1.002926,-0.052009,0.037598,0.994812601,0.987508566,1.002171,0.000061,0.000509,1.000781105,0.98808259,1.013643,-0.001089,0.000524,0.992946494,0.986339898,0.999597
Warm All,-0.010032,0.003969,0.990018153,0.982346443,0.997750,-0.0576,0.035023,0.994256557,0.987454847,1.001105,-0.000266,0.000513,0.99660099,0.983856777,1.009510,-0.001408,0.000497,0.990889752,0.984635477,0.997184
Warm Female,-0.007866,0.004607,0.992164856,0.983246212,1.001164,-0.008381,0.040425,0.999162251,0.991276869,1.007110,-0.000161,0.000596,0.997941322,0.98313066,1.012975,-0.000844,0.000576,0.994529021,0.98725764,1.001854
